word	frq	zipf	num_letters	
esperaremos	11.091376	4.044985	11	
jugador	23.966104	4.379597	7	
iniciativa	7.838107	3.894211	10	
partida	21.227306	4.326895	7	
torneo	12.187327	4.085908	6	
obra	69.840431	4.844107	4	
ideas	50.450519	4.702866	5	
sección	30.760139	4.487988	7	
dedicada	3.817456	3.581774	8	
estafan	0.185901	2.269282	7	
señor	1303.827830	6.115220	5	
lugar	634.179820	5.802212	5	
encantará	10.546642	4.023114	9	
clases	46.014833	4.662898	6	
doctores	18.518771	4.267612	8	
resuelto	14.281956	4.154788	8	
frontera	30.649895	4.486429	8	
guerra	279.489261	5.446365	6	
casa	1349.157424	6.130063	4	
pescado	31.075739	4.492421	7	
saltase	0.155638	2.192116	7	
regalos	27.212888	4.434775	7	
soluciona	1.510986	3.179260	9	
consejos	15.021237	4.176706	8	
das	100.743238	5.003216	3	
siempre	1014.898687	6.006423	7	
obras	17.606559	4.245674	5	
montañas	31.002243	4.491393	8	
nevadas	0.505824	2.703999	7	
hará	146.894255	5.167005	4	
hombre	1138.548826	6.056352	6	
inesperado	7.237171	3.859569	10	
amanecer	25.853216	4.412515	8	
precioso	38.511781	4.585594	8	
revista	31.235700	4.494651	7	
imprimía	0.075657	1.878849	8	
visitas	21.134356	4.324989	7	
educación	29.136747	4.464441	9	
harán	46.053743	4.663265	5	
caso	322.706932	5.508808	4	
pintura	31.735039	4.501539	7	
hijo	674.092343	5.828719	4	
pensar	230.651325	5.362956	6	
número	222.102038	5.346553	6	
grupo	125.416199	5.098354	5	
tierra	256.459147	5.409018	6	
subido	11.030850	4.042609	6	
médico	125.783677	5.099624	6	
padres	182.410002	5.261049	6	
bebidas	14.279795	4.154722	7	
flores	62.313600	4.794583	6	
madre	613.283244	5.787661	5	
tan	1327.938764	6.123178	3	
leyes	33.648090	4.526960	5	
maletas	18.903543	4.276543	7	
datos	46.922722	4.671383	5	
amor	426.763964	5.630188	4	
estén	57.646619	4.760774	5	
su	4679.371561	6.670188	2	
poder	284.063291	5.453415	5	
casos	39.979534	4.601838	5	
metros	68.826622	4.837756	6	
puntos	47.413415	4.675901	6	
ese	1445.313662	6.159962	3	
zona	78.534548	4.895061	4	
red	55.491464	4.744226	3	
vez	1744.285785	6.241618	3	
ahora	2510.543978	6.399768	5	
emociones	21.155972	4.325433	9	
ni	988.023016	5.994767	2	
azul	72.784585	4.862039	4	
tu	3942.388460	6.595759	2	
esperabamos
tiposde
