"","Trial_Nr","Trial_Id","Task_Name","Exp_Subject_Id","timestamp","list","Frequency","x","y","time","conf","time_diff"
"55525",20,53,"sentence",956295,1721915045128,"B","high",377.138209342957,342.577575147152,914.400146484375,1,47.699951171875
"55526",20,53,"sentence",956295,1721915045164,"B","high",370.223879814148,381.363368034363,946.5,1,32.099853515625
"55527",20,53,"sentence",956295,1721915045203,"B","high",352.445244789124,381.779646873474,978.300048828125,1,31.800048828125
"55528",20,53,"sentence",956295,1721915045237,"B","high",352.793097496033,400.602197647095,1010.5,1,32.199951171875
"55529",20,53,"sentence",956295,1721915045274,"B","high",356.867384910583,388.969859480858,1042.90014648438,1,32.400146484375
"55530",20,53,"sentence",956295,1721915045301,"B","high",318.846273422241,391.981399059296,1074.40014648438,1,31.5
"55531",20,53,"sentence",956295,1721915045339,"B","high",364.120841026306,368.570750951767,1106.7001953125,1,32.300048828125
"55532",20,53,"sentence",956295,1721915045371,"B","high",437.676072120667,382.178908586502,1138.80004882812,1,32.099853515625
"55533",20,53,"sentence",956295,1721915045403,"B","high",463.00060749054,387.884831428528,1170.5,1,31.699951171875
"55534",20,53,"sentence",956295,1721915045442,"B","high",465.972936153412,380.072659254074,1202.90014648438,1,32.400146484375
"55535",20,53,"sentence",956295,1721915045464,"B","high",472.561001777649,385.397425293922,1234.40014648438,1,31.5
"55536",20,53,"sentence",956295,1721915045506,"B","high",494.474244117737,390.03044962883,1266.5,1,32.099853515625
"55537",20,53,"sentence",956295,1721915045539,"B","high",490.010416507721,395.320153236389,1298.5,1,32
"55538",20,53,"sentence",956295,1721915045574,"B","high",627.29856967926,377.74503827095,1346.40014648438,1,47.900146484375
"55539",20,53,"sentence",956295,1721915045601,"B","high",614.980149269104,387.78862953186,1378.40014648438,1,32
"55540",20,53,"sentence",956295,1721915045628,"B","high",627.766275405884,376.449903845787,1410.30004882812,1,31.89990234375
"55541",20,53,"sentence",956295,1721915045668,"B","high",629.1672706604,391.540443897247,1442.40014648438,1,32.10009765625
"55542",20,53,"sentence",956295,1721915045702,"B","high",637.11051940918,389.905458688736,1474.5,1,32.099853515625
"55543",20,53,"sentence",956295,1721915045731,"B","high",622.371315956116,377.453765273094,1506.40014648438,1,31.900146484375
"55544",20,53,"sentence",956295,1721915045772,"B","high",619.687747955322,370.225256681442,1538.7001953125,1,32.300048828125
"55545",20,53,"sentence",956295,1721915045802,"B","high",561.897826194763,373.976340889931,1570.60009765625,1,31.89990234375
"55546",20,53,"sentence",956295,1721915045834,"B","high",558.84313583374,368.64293217659,1602.60009765625,0.95577137524448,32
"55547",20,53,"sentence",956295,1721915045866,"B","high",545.828461647034,374.018108844757,1634.5,1,31.89990234375
"55548",20,53,"sentence",956295,1721915045907,"B","high",542.662250995636,371.455734968185,1666.5,1,32
"55549",20,53,"sentence",956295,1721915045923,"B","high",535.497510433197,380.143797397614,1698.5,1,32
"55550",20,53,"sentence",956295,1721915045962,"B","high",531.930136680603,394.767126441002,1730.7001953125,1,32.2001953125
"55551",20,53,"sentence",956295,1721915045991,"B","high",536.711001396179,385.77446937561,1778.30004882812,1,47.599853515625
"55552",20,53,"sentence",956295,1721915046029,"B","high",533.947610855103,386.267071962357,1810.5,1,32.199951171875
"55553",20,53,"sentence",956295,1721915046065,"B","high",523.440551757812,384.785583615303,1842.60009765625,1,32.10009765625
"55554",20,53,"sentence",956295,1721915046100,"B","high",533.931183815002,384.087553620338,1874.60009765625,1,32
"55555",20,53,"sentence",956295,1721915046139,"B","high",531.68363571167,386.743074655533,1906.5,1,31.89990234375
"55556",20,53,"sentence",956295,1721915046162,"B","high",571.043360233307,387.943542003632,1938.5,1,32
"55557",20,53,"sentence",956295,1721915046200,"B","high",559.859693050385,394.252455234528,1970.7001953125,1,32.2001953125
"55558",20,53,"sentence",956295,1721915046234,"B","high",617.758560180664,400.87473988533,2002.40014648438,1,31.699951171875
"55559",20,53,"sentence",956295,1721915046266,"B","high",635.824751853943,403.840219974518,2034.5,1,32.099853515625
"55560",20,53,"sentence",956295,1721915046300,"B","high",653.234839439392,401.07569694519,2066.60009765625,1,32.10009765625
"55561",20,53,"sentence",956295,1721915046323,"B","high",664.29591178894,389.908647537231,2098.80004882812,1,32.199951171875
"55562",20,53,"sentence",956295,1721915046356,"B","high",657.444667816162,383.096700906754,2130.60009765625,1,31.800048828125
"55563",20,53,"sentence",956295,1721915046400,"B","high",662.320137023926,378.761759400368,2178.40014648438,1,47.800048828125
"55564",20,53,"sentence",956295,1721915046427,"B","high",665.61975479126,379.108613729477,2210.40014648438,1,32
"55565",20,53,"sentence",956295,1721915046456,"B","high",676.206064224243,387.50815987587,2242.40014648438,1,32
"55566",20,53,"sentence",956295,1721915046500,"B","high",680.799078941345,392.481511831284,2274.5,1,32.099853515625
"55567",20,53,"sentence",956295,1721915046531,"B","high",669.211292266846,380.712887644768,2306.5,1,32
"55568",20,53,"sentence",956295,1721915046562,"B","high",676.627254486084,378.833389282227,2338.5,1,32
"55569",20,53,"sentence",956295,1721915046593,"B","high",439.453208446503,462.872034311295,2370.5,1,32
"55570",20,53,"sentence",956295,1721915046624,"B","high",331.67188167572,482.003456354141,2402.60009765625,0.991565095011651,32.10009765625
"55571",20,53,"sentence",956295,1721915046661,"B","high",315.480017662048,480.9714615345,2434.80004882812,0.982445423507079,32.199951171875
"55572",20,53,"sentence",956295,1721915046690,"B","high",341.798901557922,473.202160000801,2467,0.881455405992345,32.199951171875
"55573",20,53,"sentence",956295,1721915046738,"B","high",334.718918800354,452.290362119675,2498.5,0.819217974546142,31.5
"55574",20,53,"sentence",956295,1721915046757,"B","high",329.704928398132,452.644473314285,2530.7001953125,0.819217974546142,32.2001953125
"55575",20,53,"sentence",956295,1721915046794,"B","high",325.788307189941,443.604505062103,2562.60009765625,0.81813818747566,31.89990234375
"55576",20,53,"sentence",956295,1721915046822,"B","high",348.322296142578,444.09011900425,2610.40014648438,0.875598045990002,47.800048828125
"55577",20,53,"sentence",956295,1721915046855,"B","high",379.690039157867,416.740989685059,2642.40014648438,0.843281549449982,32
"55578",20,53,"sentence",956295,1721915046894,"B","high",393.109369277954,426.081916689873,2674.40014648438,1,32
"55579",20,53,"sentence",956295,1721915046923,"B","high",407.744824886322,432.223534584045,2706.5,0.900459557821216,32.099853515625
"55580",20,53,"sentence",956295,1721915046958,"B","high",523.900759220123,423.158383369446,2738.60009765625,0.906098480691592,32.10009765625
"55581",20,53,"sentence",956295,1721915046989,"B","high",542.276954650879,425.731083750725,2770.5,0.916772491595347,31.89990234375
"55582",20,53,"sentence",956295,1721915047027,"B","high",537.784707546234,420.977374911308,2802.40014648438,1,31.900146484375
"55583",20,53,"sentence",956295,1721915047059,"B","high",537.794125080109,417.362278699875,2834.7001953125,0.975082961355547,32.300048828125
"55584",20,53,"sentence",956295,1721915047103,"B","high",532.664513587952,414.264535903931,2866.90014648438,1,32.199951171875
"55585",20,53,"sentence",956295,1721915047134,"B","high",543.906402587891,423.062509298325,2898.5,0.999604524897792,31.599853515625
"55586",20,53,"sentence",956295,1721915047173,"B","high",557.603418827057,424.787482619286,2930.5,0.922510634367755,32
"55587",20,53,"sentence",956295,1721915047200,"B","high",572.961246967316,425.469940900803,2962.5,1,32
"55588",20,53,"sentence",956295,1721915047228,"B","high",579.263377189636,415.049558877945,2994.60009765625,1,32.10009765625
"55589",20,53,"sentence",956295,1721915047258,"B","high",573.434889316559,409.946596622467,3042.40014648438,0.991487332989774,47.800048828125
"55590",20,53,"sentence",956295,1721915047293,"B","high",579.471898078918,415.330684185028,3074.40014648438,0.934316027508661,32
"55591",20,53,"sentence",956295,1721915047335,"B","high",429.023873806,428.364416956902,3106.40014648438,0.924019567617619,32
"55592",20,53,"sentence",956295,1721915047369,"B","high",375.634682178497,470.339184999466,3138.60009765625,0.930297575624877,32.199951171875
"55593",20,53,"sentence",956295,1721915047402,"B","high",364.706611633301,467.080554366112,3170.5,0.60812405212377,31.89990234375
"55594",20,53,"sentence",956295,1721915047434,"B","high",352.030992507935,477.458065748215,3202.40014648438,0.605898017994819,31.900146484375
"55595",20,53,"sentence",956295,1721915047467,"B","high",345.026993751526,491.029179096222,3234.7001953125,0.605898017994819,32.300048828125
"55596",20,53,"sentence",956295,1721915047488,"B","high",276.851963996887,531.609690189362,3266.60009765625,0.599203902326337,31.89990234375
"55597",20,53,"sentence",956295,1721915047522,"B","high",256.59646987915,492.94445514679,3298.7001953125,0.737108629880399,32.10009765625
"55598",20,53,"sentence",956295,1721915047559,"B","high",276.794099807739,488.520061969757,3330.7001953125,0.677929686228017,32
"55599",20,53,"sentence",956295,1721915047593,"B","high",273.825073242188,478.881067037582,3362.80004882812,0.593942086649282,32.099853515625
"55600",20,53,"sentence",956295,1721915047622,"B","high",320.734095573425,477.559244632721,3426.5,0.645679693226164,63.699951171875
"55601",20,53,"sentence",956295,1721915047680,"B","high",322.796750068665,469.042128324509,3474.40014648438,0.574868655468431,47.900146484375
"55602",20,53,"sentence",956295,1721915047734,"B","high",326.466345787048,468.488132953644,3506.7001953125,0.703166980662065,32.300048828125
"55603",20,53,"sentence",956295,1721915047758,"B","high",329.690885543823,463.846898078918,3538.5,0.676950929211902,31.7998046875
"55604",20,53,"sentence",956295,1721915047801,"B","high",577.366125583649,374.115100502968,3570.5,0.760318987205353,32
"55605",20,53,"sentence",956295,1721915047830,"B","high",693.547010421753,389.247259497643,3602.60009765625,0.630156641942802,32.10009765625
"55606",20,53,"sentence",956295,1721915047853,"B","high",664.826536178589,379.473006725311,3634.5,0.630156641942802,31.89990234375
"55607",20,53,"sentence",956295,1721915047884,"B","high",667.526197433472,373.606300354004,3666.5,0.797329149200398,32
"55608",20,53,"sentence",956295,1721915047926,"B","high",691.357517242432,377.883946895599,3698.5,0.994111687045795,32
"55609",20,53,"sentence",956295,1721915047957,"B","high",686.908483505249,380.713349580765,3731,1,32.5
"55610",20,53,"sentence",956295,1721915047986,"B","high",671.289205551147,376.664346456528,3763,1,32
"55611",20,53,"sentence",956295,1721915048032,"B","high",667.317342758179,374.188950657845,3794.5,1,31.5
"55612",20,53,"sentence",956295,1721915048066,"B","high",667.177820205688,381.551942229271,3826.5,1,32
"55613",20,53,"sentence",956295,1721915048093,"B","high",629.884433746338,390.245622396469,3874.5,1,48
"55614",20,53,"sentence",956295,1721915048124,"B","high",572.43869304657,424.834138154984,3906.30004882812,1,31.800048828125
"55615",20,53,"sentence",956295,1721915048155,"B","high",542.198812961578,404.052978754044,3938.40014648438,1,32.10009765625
"55616",20,53,"sentence",956295,1721915048187,"B","high",555.423450469971,383.497482538223,3970.60009765625,1,32.199951171875
"55617",20,53,"sentence",956295,1721915048229,"B","high",546.891808509827,387.001386284828,4002.40014648438,1,31.800048828125
"55618",20,53,"sentence",956295,1721915048256,"B","high",540.482950210571,400.243481993675,4034.60009765625,1,32.199951171875
"55619",20,53,"sentence",956295,1721915048293,"B","high",466.346776485443,417.83738732338,4066.5,1,31.89990234375
"55620",20,53,"sentence",956295,1721915048327,"B","high",364.832210540771,448.076835274696,4098.40014648438,0.884901909248667,31.900146484375
"55621",20,53,"sentence",956295,1721915048356,"B","high",349.61371421814,449.776327610016,4130.40014648438,0.884901909248667,32
"55622",20,53,"sentence",956295,1721915048390,"B","high",385.271608829498,443.192964792252,4162.5,0.784803806881901,32.099853515625
"55623",20,53,"sentence",956295,1721915048422,"B","high",384.132468700409,434.785863757133,4194.60009765625,0.722150639235601,32.10009765625
"55624",20,53,"sentence",956295,1721915048457,"B","high",371.567022800446,459.956592321396,4226.60009765625,0.594187532034708,32
"55625",20,53,"sentence",956295,1721915048495,"B","high",563.610517978668,424.177414178848,4258.60009765625,0.782416813334428,32
"55626",20,53,"sentence",956295,1721915048522,"B","high",582.435417175293,385.09595990181,4306.30004882812,0.67964133360814,47.699951171875
"55627",20,53,"sentence",956295,1721915048564,"B","high",594.246435165405,401.246404647827,4338.40014648438,0.76509570300594,32.10009765625
"55628",20,53,"sentence",956295,1721915048600,"B","high",596.611773967743,419.543957710266,4370.5,0.83794568482212,32.099853515625
"55629",20,53,"sentence",956295,1721915048622,"B","high",596.709501743317,419.883048534393,4402.5,0.83794568482212,32
"55630",20,53,"sentence",956295,1721915048661,"B","high",442.461442947388,449.840745329857,4434.5,0.856017097563565,32
"55631",20,53,"sentence",956295,1721915048688,"B","high",426.164269447327,471.675387024879,4466.5,0.709585678937707,32
"55632",20,53,"sentence",956295,1721915048727,"B","high",390.196597576141,479.42773103714,4498.5,0.601110417193588,32
"55633",20,53,"sentence",956295,1721915048772,"B","high",425.338232517242,456.27119243145,4530.60009765625,0.839152675866003,32.10009765625
"55634",20,53,"sentence",956295,1721915048799,"B","high",430.844008922577,475.741302967072,4562.5,0.700499034006765,31.89990234375
"55635",20,53,"sentence",956295,1721915048822,"B","high",348.026371002197,480.114674568176,4594.5,0.700499034006765,32
"55636",20,53,"sentence",956295,1721915048860,"B","high",311.731195449829,484.048640727997,4626.7001953125,0.646522762760645,32.2001953125
"55637",20,53,"sentence",956295,1721915048892,"B","high",329.232549667358,457.538416981697,4658.5,0.680530883066299,31.7998046875
"55638",20,53,"sentence",956295,1721915048931,"B","high",292.205500602722,469.790866971016,4690.7001953125,0.657045873457845,32.2001953125
"55639",20,53,"sentence",956295,1721915048970,"B","high",288.550853729248,504.439508914948,4738.60009765625,0.645346028517427,47.89990234375
"55640",20,53,"sentence",956295,1721915049001,"B","high",294.649457931519,486.649549007416,4770.5,0.68425156666739,31.89990234375
"55641",20,53,"sentence",956295,1721915049031,"B","high",293.382334709167,500.49821138382,4802.40014648438,0.734849065894944,31.900146484375
"55642",20,53,"sentence",956295,1721915049061,"B","high",327.693223953247,474.874368309975,4834.5,0.734849065894944,32.099853515625
"55643",20,53,"sentence",956295,1721915049081,"B","high",352.27746963501,447.660183906555,4866.40014648438,0.723733199820046,31.900146484375
