"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"135",953681,8,"high",5,"pencil","No",736.099853515625,736.099853515625,736.099853515625,736.099853515625,"Frequency corpus",1921,3.98,6
"136",953681,40,"low",2,"taxi","No",320,NA,432.39990234375,432.39990234375,"Frequency corpus",4053,4.3,4
"137",953681,40,"low",3,"driver","No",127.800048828125,127.800048828125,127.800048828125,127.800048828125,"Frequency corpus",10301,4.71,6
"138",953681,40,"low",4,"struggled","No",111.89990234375,111.89990234375,111.89990234375,111.89990234375,"Frequency corpus",2901,4.16,9
"139",953681,40,"low",6,"put","No",223.89990234375,223.89990234375,223.89990234375,223.89990234375,"Frequency corpus",195594,5.99,3
"140",953681,40,"low",9,"suitcase","No",240.2001953125,240.2001953125,240.2001953125,240.2001953125,"Frequency corpus",1225,3.78,8
"141",953681,57,"low",1,"Margaret","No",112,NA,576,576,"Frequency corpus",7216,4.55,8
"142",953681,57,"low",2,"benefited","No",96,96,96,96,"Frequency corpus",944,3.67,9
"143",953681,57,"low",5,"from","No",271.89990234375,271.89990234375,271.89990234375,271.89990234375,"Frequency corpus",631971,6.5,4
"144",953681,57,"low",10,"mentor","Yes",NA,NA,NA,111.89990234375,"Frequency corpus",999,3.7,6
"145",953681,57,"low",11,"during","No",128.30004882812,128.30004882812,128.30004882812,128.30004882812,"Frequency corpus",30343,5.18,6
"146",953681,19,"high",4,"performance","No",367.89990234375,367.89990234375,367.89990234375,367.89990234375,"Frequency corpus",18899,4.97,11
"147",953681,6,"high",2,"the","No",400,400,400,400,"Frequency corpus",9418422,7.67,3
"148",953681,6,"high",4,"crisis","No",176,176,176,176,"Frequency corpus",14583,4.86,6
"149",953748,32,"low",2,"building","No",NA,NA,NA,192,"Frequency corpus",34959,5.24,8
"150",953748,32,"low",3,"inspector","No",NA,NA,NA,96,"Frequency corpus",3014,4.18,9
"151",953748,32,"low",4,"examined","No",NA,NA,NA,128,"Frequency corpus",1187,3.77,8
"152",953748,32,"low",6,"leaky","Yes",592.10009765626,592.10009765626,592.10009765626,1055.90014648439,"Frequency corpus",240,3.08,5
"153",953748,32,"low",7,"roof","No",NA,NA,NA,335.90014648438,"Frequency corpus",10584,4.72,4
"154",953748,32,"low",10,"house","No",127.89990234375,127.89990234375,127.89990234375,127.89990234375,"Frequency corpus",135288,5.83,5
"155",953748,43,"low",2,"spectators","No",464.10009765625,NA,863.7001953125,1231.69995117186,"Frequency corpus",834,3.62,10
"156",953748,43,"low",4,"fascinated","No",432.09985351562,432.09985351562,432.09985351562,720.09985351562,"Frequency corpus",1668,3.92,10
"157",953748,43,"low",7,"wavy","Yes",351.80004882813,NA,1279.89990234375,1967.49975585937,"Frequency corpus",269,3.13,4
"158",953748,43,"low",12,"actress.","No",367.80004882813,367.80004882813,367.80004882813,719.80004882813,"Frequency corpus",3742,4.27,8
"159",953748,41,"low",1,"David's","No",223.39990234375,NA,319.39990234375,447.5,"Frequency corpus",112,2.75,7
"160",953748,41,"low",2,"friends","No",224.199951171875,224.199951171875,224.199951171875,928.299804687495,"Frequency corpus",42631,5.33,7
"161",953748,41,"low",4,"tired","No",111.80004882813,111.80004882813,111.80004882813,111.80004882813,"Frequency corpus",8859,4.64,5
"162",953748,41,"low",9,"stale","Yes",688.09985351562,688.09985351562,688.09985351562,1248.09985351562,"Frequency corpus",387,3.28,5
"163",953748,41,"low",10,"jokes","No",NA,NA,NA,143.90014648438,"Frequency corpus",3200,4.2,5
"164",953748,41,"low",13,"time.","No",192.10009765625,192.10009765625,192.10009765625,192.10009765625,"Frequency corpus",451369,6.35,5
"165",953748,49,"low",2,"long","No",335.900146484375,335.900146484375,335.900146484375,863.900146484375,"Frequency corpus",128115,5.8,4
"166",953748,49,"low",4,"the","No",128.10009765625,128.10009765625,128.10009765625,128.10009765625,"Frequency corpus",9418422,7.67,3
"167",953748,49,"low",5,"brawl","Yes",NA,NA,NA,256.09985351562,"Frequency corpus",209,3.02,5
"168",953748,49,"low",8,"the","No",96,96,96,96,"Frequency corpus",9418422,7.67,3
"169",953748,49,"low",9,"bar,","No",NA,NA,NA,720.09985351562,"Frequency corpus",11216,4.75,4
"170",953748,12,"high",1,"The","No",192.10009765625,192.10009765625,192.10009765625,192.10009765625,"Frequency corpus",9418422,7.67,3
"171",953748,12,"high",2,"progress","No",128,128,128,384,"Frequency corpus",9586,4.68,8
"172",953748,12,"high",5,"bright","Yes",384.099853515625,NA,784.099853515625,784.099853515625,"Frequency corpus",13304,4.82,6
"173",953748,12,"high",10,"very","No",96,96,96,96,"Frequency corpus",519645,6.41,4
"174",953748,12,"high",11,"proud","No",128,128,128,128,"Frequency corpus",19777,4.99,5
"175",953748,47,"low",2,"the","No",288.10009765625,288.10009765625,288.10009765625,288.10009765625,"Frequency corpus",9418422,7.67,3
"176",953748,47,"low",3,"summer,","No",NA,NA,NA,96,"Frequency corpus",20209,5,7
"177",953748,47,"low",5,"motel","Yes",367.89990234375,367.89990234375,367.89990234375,703.49975585938,"Frequency corpus",235,3.07,5
"178",953748,47,"low",6,"attracted","No",NA,NA,NA,399.39990234375,"Frequency corpus",2597,4.11,9
"179",953748,47,"low",8,"tourists","No",463.89990234375,463.89990234375,463.89990234375,768,"Frequency corpus",3245,4.21,8
"180",953748,47,"low",11,"low","No",400,400,400,400,"Frequency corpus",26261,5.12,3
"181",953748,44,"low",2,"is","No",NA,NA,NA,96.30004882812,"Frequency corpus",3047923,7.18,2
"182",953748,44,"low",4,"avid","Yes",NA,NA,NA,224,"Frequency corpus",344,3.23,4
