"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub"
"79",4,2377.19995117188,2814.19995117188,1254.15135383606,907.291188240051,117.760328155515,25.4745346713064,-56.1110162734967,10.5532801151277,437,11
"80",38,12.300048828125,807.60009765625,1193.5075378418,903.993465900422,93.4072103691081,35.7218348922743,-60.2736091613751,-9.78225231170649,795.300048828125,11
"81",38,8.900146484375,1560.10009765625,1226.90004348755,901.261067390442,123.157873535161,20.417994389534,58.4065055847167,-12.877027988434,1551.19995117188,11
"82",22,987.5,1497.19995117188,1469.86519813538,886.16136789322,95.9836933307705,7.48267432165078,75.3545618057267,7.16262459754967,509.69995117188,11
"83",13,19.900146484375,213.60009765625,1617.65007972717,847.402653694153,32.2819573230747,1.72064574337031,-70.4213857650767,-3.56421589851402,193.699951171875,11
"84",13,440.300048828125,1285.69995117188,1170.64662933349,929.046542644501,40.7281775665303,14.6422225327492,38.9896583557102,9.96553301811258,845.399902343755,11
"85",13,1317.10009765625,1779.60009765625,1439.11667823791,889.989588260651,105.108141540532,5.35224346160838,64.3171024322515,-10.4008877277377,462.5,11
"87",31,23.10009765625,1355,1169.84066009522,929.932669401168,63.6766531105094,19.3661404802795,59.8890733718883,-11.9360554218289,1331.89990234375,11
"88",31,1386.40014648438,1722.60009765625,1426.0186958313,887.019803524017,86.2050537528938,5.54633545732599,-78.371329307555,4.94455575942999,336.19995117187,11
"89",31,1769.80004882813,2012.10009765625,1134.28928375244,934.230651855469,51.0085175056532,2.63724606799961,-34.6153545379616,-8.22509050369234,242.30004882812,11
"90",18,325.300048828125,1380.60009765625,1210.08451461792,888.193817138672,171.404416236881,21.2763766593931,-55.6079483032233,9.99338507652232,1055.30004882812,11
"91",18,1403.69995117188,2405.80004882813,1312.91357994079,863.787496089935,113.59019045448,9.04943988418478,-71.2734651565568,9.11852359771706,1002.10009765625,11
"92",18,2452.30004882813,2726.60009765625,1134.0629863739,911.291810274124,44.0709048614473,7.61484203124097,45.0795364379883,-12.7181661128998,274.30004882812,11
"93",18,2742.40014648438,3432.90014648438,1114.03238296509,911.233434677124,92.253990943908,15.4959600834836,-54.2945289611833,-9.49416160583496,690.5,11
"94",20,3.400146484375,656.800048828125,1132.86270141602,903.99532198906,42.9858786792731,17.3833067049979,33.3855247497565,-9.572385549545,653.39990234375,11
"95",20,719.199951171875,897.5,1372.69248962402,874.145908355713,32.3081854934706,1.37959292578689,-35.2689886093166,5.44942259788564,178.300048828125,11
"96",20,929,1154.30004882813,1521.98638916015,861.196610927582,32.7217563743647,5.36523913121207,-71.2244033813485,5.50006270408579,225.30004882813,11
"98",39,76.60009765625,186.400146484375,1315.56449890137,937.832075357437,37.6521928853989,5.77807830977406,51.729373931885,-6.22561097145069,109.800048828125,11
"100",39,331.800048828125,1150.80004882813,1371.71589374542,871.236258745193,277.168276176451,23.5182171521184,-67.0237112045268,10.4463779926305,819.000000000005,11
"102",25,26.60009765625,730.900146484375,1187.73061752319,884.684865474702,66.6858655357418,7.36019371462003,-56.615982055665,-11.0689187049868,704.300048828125,11
"103",25,762.5,1176.5,1548.50307464599,851.087150573731,64.4166692733727,5.23762070131319,-78.1984663009649,7.4405443668366,414,11
"104",25,1192.19995117188,1401.30004882813,1411.78587436676,854.995526075363,23.3660690202708,3.3981846756936,-37.55512714386,-4.77887034416244,209.10009765625,11
"106",16,24.699951171875,268,1436.90515518188,857.501513957977,30.3172906208059,8.83508291530643,-59.8770093917849,-12.146844863892,243.300048828125,11
"107",16,347.199951171875,777.800048828125,1137.37025260925,895.937118530274,25.8463985195136,4.98753757095421,-29.128341674805,-7.17867493629478,430.60009765625,11
"108",16,793.60009765625,1257.10009765625,1047.94599533081,923.014769554138,22.1508139629389,11.6202282929422,-65.6719017028799,-11.560492515564,463.5,11
"109",16,1288,1532.30004882813,1422.10451126098,853.953037261963,20.0453917694126,4.04325981044719,-72.6247549057,8.14530014991755,244.30004882813,11
"112",29,39,376.60009765625,1461.28590583801,960.240225791932,65.5715995388092,13.7660249018693,66.9249391555784,10.6362891197203,337.60009765625,11
"113",29,618.60009765625,822.900146484375,1085.40222167969,955.951094627381,28.5432906990051,5.231417138099,87.0357322692882,9.48808908462496,204.300048828125,11
"114",29,854.400146484375,1717.5,1407.24572658539,917.358516454696,242.343494198802,18.4601975591186,74.677839279175,11.3357877731325,863.099853515625,11
"115",29,1749.10009765625,2538.19995117188,1148.93045425415,956.707541942596,122.552547157288,21.5635539164544,-58.7869071960449,11.0189008712764,789.09985351563,11
"116",29,2568.90014648438,3194.80004882813,1345.40423870087,909.21049118042,57.3430165529229,13.0399216876019,-49.8589134216301,9.1456460952765,625.89990234375,11
"117",17,40.5,166,1472.76208877564,866.636259555817,18.7002471771314,1.76263909435323,55.1581668853767,-7.83401370048523,125.5,11
"118",17,227.800048828125,789.199951171875,1260.00834465027,925.943130254745,126.293263961796,32.3551611363892,-57.8008747100832,11.5555143356324,561.39990234375,11
