"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"121",2,40,"low",6,"cuerda","Yes",192.39990234375,192.39990234375,192.39990234375,562.79980468751,"Webcam"
"122",2,97,"high",6,"fronteras","Yes",224.10009765625,NA,399.5,655.19995117187,"Webcam"
"123",2,82,"high",5,"partidos","Yes",160.2998046875,160.2998046875,160.2998046875,272.19995117187,"Webcam"
"124",2,45,"low",4,"grados","Yes",160,160,160,160,"Webcam"
"125",2,51,"high",6,"sistema","Yes",175.69995117188,175.69995117188,175.69995117188,273.80004882812,"Webcam"
"126",2,1,"low",6,"humo","Yes",206.599853515625,206.599853515625,206.599853515625,206.599853515625,"Webcam"
"127",2,30,"low",5,"botas","Yes",NA,NA,NA,175.90014648437,"Webcam"
"128",2,47,"low",4,"bromas","Yes",108.39990234375,108.39990234375,108.39990234375,108.39990234375,"Webcam"
"129",2,36,"low",5,"pelota","Yes",179.5,179.5,179.5,482.19995117187,"Webcam"
"130",2,6,"low",6,"nave","Yes",175.7998046875,175.7998046875,175.7998046875,607.5,"Webcam"
"131",2,70,"high",4,"puertas","Yes",158.10009765625,158.10009765625,158.10009765625,158.10009765625,"Webcam"
"132",2,98,"high",4,"funciones","Yes",144.59985351563,144.59985351563,144.59985351563,144.59985351563,"Webcam"
"133",2,81,"high",3,"recursos","Yes",192,192,192,192,"Webcam"
"134",2,31,"low",4,"chiste","Yes",190,190,190,190,"Webcam"
"135",2,80,"high",3,"libertad","Yes",192.69995117187,192.69995117187,192.69995117187,560.40014648437,"Webcam"
"136",2,9,"low",4,"miel","Yes",NA,NA,NA,304.90014648437,"Webcam"
"137",2,60,"high",3,"opinión","Yes",191,NA,495.000000000005,737.199951171885,"Webcam"
"138",2,86,"high",4,"empresas","Yes",272,272,272,272,"Webcam"
"139",2,21,"low",5,"oídos","Yes",NA,NA,NA,223.69995117187,"Webcam"
"140",2,72,"high",5,"objetivo","Yes",192.30004882813,192.30004882813,192.30004882813,288.30004882813,"Webcam"
"141",2,95,"high",4,"productos","Yes",NA,NA,NA,367.7998046875,"Webcam"
"142",2,49,"low",4,"piezas","Yes",241.999999999995,241.999999999995,241.999999999995,241.999999999995,"Webcam"
"143",2,76,"high",3,"historia","Yes",143.89990234375,143.89990234375,143.89990234375,499.10009765625,"Webcam"
