"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker","word_length"
"2200",5,80,"low",4,"ocuparme","No",112.400146484375,112.400146484375,112.400146484375,224.700195312495,"Webcam",8
"2201",5,80,"low",5,"de","No",220.39990234374,220.39990234374,220.39990234374,220.39990234374,"Webcam",2
"2202",5,80,"low",7,"recados.","No",255.60009765625,255.60009765625,255.60009765625,751.40014648437,"Webcam",8
"2203",5,69,"low",3,"calor","No",193.199951171875,193.199951171875,193.199951171875,193.199951171875,"Webcam",5
"2204",5,69,"low",4,"las","No",175.400146484375,175.400146484375,175.400146484375,175.400146484375,"Webcam",3
"2205",5,69,"low",5,"bebidas","No",591.69995117188,591.69995117188,591.69995117188,591.69995117188,"Webcam",7
"2206",5,69,"low",6,"frías","No",400,400,400,400,"Webcam",5
"2207",5,69,"low",9,"bien.","No",240,240,240,240,"Webcam",5
"2208",5,9,"high",1,"Espero","No",175.800048828125,175.800048828125,175.800048828125,175.800048828125,"Webcam",6
"2209",5,9,"high",5,"esté","No",240,240,240,240,"Webcam",4
"2210",5,9,"high",6,"bien","No",499.39990234375,499.39990234375,499.39990234375,499.39990234375,"Webcam",4
"2211",5,60,"low",2,"buena","No",271.89990234375,271.89990234375,271.89990234375,271.89990234375,"Webcam",5
"2212",5,60,"low",3,"calidad","Yes",159.5,159.5,159.5,159.5,"Webcam",7
"2213",5,60,"low",4,"es","No",160,NA,256.099853515625,256.099853515625,"Webcam",2
"2214",5,60,"low",6,"para","No",144.09985351562,144.09985351562,144.09985351562,144.09985351562,"Webcam",4
"2215",5,86,"low",1,"Esperemos","No",303.7001953125,303.7001953125,303.7001953125,303.7001953125,"Webcam",9
"2216",5,86,"low",3,"estas","No",NA,NA,NA,223.59985351562,"Webcam",5
"2217",5,86,"low",4,"ventanas","Yes",192.60009765625,192.60009765625,192.60009765625,192.60009765625,"Webcam",8
"2218",5,86,"low",5,"aíslen","No",223.89990234375,223.89990234375,223.89990234375,223.89990234375,"Webcam",6
"2219",5,86,"low",7,"frío.","No",383.80004882813,383.80004882813,383.80004882813,383.80004882813,"Webcam",5
"2220",5,21,"high",3,"en","No",418.5,NA,562.699951171875,562.699951171875,"Webcam",2
"2221",5,21,"high",5,"meses","Yes",259.2001953125,259.2001953125,259.2001953125,259.2001953125,"Webcam",5
"2222",5,21,"high",7,"invierno.","No",368.30004882813,368.30004882813,368.30004882813,368.30004882813,"Webcam",9
"2223",5,72,"low",1,"Tengo","No",141.800048828125,141.800048828125,141.800048828125,141.800048828125,"Webcam",5
"2224",5,72,"low",4,"al","No",272.099853515625,272.099853515625,272.099853515625,624.299804687505,"Webcam",2
"2225",5,72,"low",5,"fantasma","Yes",143.999999999995,143.999999999995,143.999999999995,270.999999999995,"Webcam",8
"2226",5,72,"low",6,"atentamente.","No",897.59985351562,897.59985351562,897.59985351562,897.59985351562,"Webcam",12
"2227",5,95,"low",3,"los","No",721.199951171875,721.199951171875,721.199951171875,721.199951171875,"Webcam",3
"2228",5,95,"low",6,"funcionan.","No",319.39990234375,319.39990234375,319.39990234375,319.39990234375,"Webcam",10
"2229",5,49,"high",2,"preciosas","No",351.5,351.5,351.5,783.19995117187,"Webcam",9
"2230",5,49,"high",4,"flores","Yes",143.5,143.5,143.5,286.10009765625,"Webcam",6
"2231",5,49,"high",5,"campestres.","No",160.5,160.5,160.5,160.5,"Webcam",11
"2232",5,76,"low",2,"la","No",384,384,384,609.19995117188,"Webcam",2
"2233",5,76,"low",3,"criatura","Yes",160.199951171875,160.199951171875,160.199951171875,160.199951171875,"Webcam",8
"2234",5,76,"low",4,"apareció","No",128.300048828125,128.300048828125,128.300048828125,128.300048828125,"Webcam",8
"2235",5,76,"low",5,"fascinó","No",303.60009765625,303.60009765625,303.60009765625,511.80004882813,"Webcam",7
"2236",5,76,"low",7,"todos.","No",128,128,128,128,"Webcam",6
"2237",5,90,"low",2,"podremos","No",560,560,560,560,"Webcam",8
"2238",5,90,"low",3,"terminar","No",178.5,178.5,178.5,178.5,"Webcam",8
"2239",5,90,"low",4,"las","No",96,96,96,96,"Webcam",3
"2240",5,90,"low",5,"galletas","Yes",196.5,196.5,196.5,196.5,"Webcam",8
"2241",5,90,"low",7,"tarde.","No",318.19995117188,318.19995117188,318.19995117188,318.19995117188,"Webcam",6
"2242",5,20,"high",3,"cena","No",525.099853515625,525.099853515625,525.099853515625,525.099853515625,"Webcam",4
"2243",5,20,"high",5,"madre","Yes",112.199951171875,112.199951171875,112.199951171875,112.199951171875,"Webcam",5
"2244",5,20,"high",6,"preparó","No",240.69995117188,240.69995117188,240.69995117188,240.69995117188,"Webcam",7
"2245",5,20,"high",7,"tortilla.","No",223.90014648438,223.90014648438,223.90014648438,223.90014648438,"Webcam",9
"2246",5,77,"low",2,"que","No",319.900146484375,319.900146484375,319.900146484375,530.300048828125,"Webcam",3
"2247",5,77,"low",4,"mejorar","No",112.699951171875,112.699951171875,112.699951171875,255.899902343745,"Webcam",7
"2248",5,77,"low",6,"escalera","Yes",511.90014648438,511.90014648438,511.90014648438,511.90014648438,"Webcam",8
"2249",5,77,"low",7,"tan","No",192.09985351562,192.09985351562,192.09985351562,192.09985351562,"Webcam",3
"2250",5,100,"low",2,"semana","No",304,NA,400.199951171875,400.199951171875,"Webcam",6
"2251",5,100,"low",4,"muchas","No",114.39990234375,114.39990234375,114.39990234375,114.39990234375,"Webcam",6
"2252",5,100,"low",5,"reuniones","Yes",175.400146484375,175.400146484375,175.400146484375,175.400146484375,"Webcam",9
"2253",5,100,"low",6,"por","No",272.19995117188,272.19995117188,272.19995117188,272.19995117188,"Webcam",3
"2254",5,100,"low",7,"delante.","No",157.10009765626,157.10009765626,157.10009765626,157.10009765626,"Webcam",8
"2255",5,27,"high",1,"Están","No",175.60009765625,175.60009765625,175.60009765625,175.60009765625,"Webcam",5
"2256",5,27,"high",2,"preparando","No",NA,NA,NA,128.5,"Webcam",10
"2257",5,27,"high",4,"leyes","Yes",432.5,432.5,432.5,432.5,"Webcam",5
"2258",5,27,"high",7,"congreso.","No",463.40014648438,463.40014648438,463.40014648438,463.40014648438,"Webcam",9
"2259",5,75,"low",3,"cuidar","No",NA,NA,NA,271.5,"Webcam",6
"2260",5,75,"low",4,"el","No",271.89990234375,NA,592.30004882813,592.30004882813,"Webcam",2
"2261",5,75,"low",5,"lenguaje","Yes",256.10009765626,256.10009765626,256.10009765626,256.10009765626,"Webcam",8
"2262",5,75,"low",7,"utilizamos.","No",336.19995117187,336.19995117187,336.19995117187,336.19995117187,"Webcam",11
"2263",5,35,"high",2,"padre","No",368.199951171875,368.199951171875,368.199951171875,368.199951171875,"Webcam",5
"2264",5,35,"high",4,"que","No",95.7001953125,95.7001953125,95.7001953125,95.7001953125,"Webcam",3
"2265",5,35,"high",6,"estado","Yes",207.999999999995,207.999999999995,207.999999999995,207.999999999995,"Webcam",6
"2266",5,35,"high",8,"se","No",318.30004882812,318.30004882812,318.30004882812,318.30004882812,"Webcam",2
"2267",5,35,"high",9,"sostiene.","No",367.69995117188,367.69995117188,367.69995117188,367.69995117188,"Webcam",9
"2268",5,67,"low",1,"Mientras","No",96.800048828125,96.800048828125,96.800048828125,96.800048828125,"Webcam",8
"2269",5,67,"low",3,"maletas","Yes",463.5,463.5,463.5,463.5,"Webcam",7
"2270",5,67,"low",4,"llegan,","No",224.099853515625,224.099853515625,224.099853515625,224.099853515625,"Webcam",7
"2271",5,67,"low",5,"esperaremos","No",320.10009765625,320.10009765625,320.10009765625,832.00024414063,"Webcam",11
"2272",5,67,"low",6,"aquí.","No",272.10009765625,272.10009765625,272.10009765625,272.10009765625,"Webcam",5
"2273",5,54,"low",2,"equipo","No",303.800048828125,303.800048828125,303.800048828125,303.800048828125,"Webcam",6
"2274",5,54,"low",3,"debe","No",240,240,240,240,"Webcam",4
"2275",5,54,"low",4,"tener","No",239.800048828125,239.800048828125,239.800048828125,239.800048828125,"Webcam",5
"2276",5,54,"low",6,"jugador","Yes",208.59985351562,208.59985351562,208.59985351562,208.59985351562,"Webcam",7
"2277",5,54,"low",8,"iniciativa.","No",175.59985351562,NA,511.89990234374,511.89990234374,"Webcam",11
"2278",5,59,"low",3,"una","No",669,669,669,669,"Webcam",3
"2279",5,59,"low",7,"el","No",401.10009765625,401.10009765625,401.10009765625,401.10009765625,"Webcam",2
"2280",5,8,"high",2,"se","No",NA,NA,NA,156.60009765625,"Webcam",2
"2281",5,8,"high",3,"ha","No",NA,NA,NA,195.59985351562,"Webcam",2
"2282",5,8,"high",5,"dónde","No",143.7001953125,143.7001953125,143.7001953125,464.30029296874,"Webcam",5
"2283",5,8,"high",6,"hacer","No",544.2998046875,544.2998046875,544.2998046875,800.2998046875,"Webcam",5
"2284",5,8,"high",8,"obra","Yes",NA,NA,NA,128.2998046875,"Webcam",4
"2285",5,8,"high",9,"todavía.","No",272.19995117188,272.19995117188,272.19995117188,386.30004882813,"Webcam",8
"2286",5,26,"high",1,"Llegaremos","No",NA,NA,NA,271.69995117188,"Webcam",10
"2287",5,26,"high",2,"lejos","No",434.599853515625,NA,530.89990234375,740.89990234375,"Webcam",5
"2288",5,26,"high",4,"estas","No",349.39990234375,NA,570.2998046875,570.2998046875,"Webcam",5
"2289",5,26,"high",6,"de","No",384.90014648438,384.90014648438,384.90014648438,384.90014648438,"Webcam",2
"2290",5,25,"high",2,"amigos","No",641.199951171875,641.199951171875,641.199951171875,641.199951171875,"Webcam",6
"2291",5,25,"high",4,"ven","No",383.89990234375,383.89990234375,383.89990234375,383.89990234375,"Webcam",3
"2292",5,25,"high",7,"cariño.","No",655.90014648438,655.90014648438,655.90014648438,655.90014648438,"Webcam",7
"2293",5,58,"low",3,"sección","Yes",767.599853515625,767.599853515625,767.599853515625,767.599853515625,"Webcam",7
"2294",5,58,"low",4,"dedicada","No",287.90014648438,287.90014648438,287.90014648438,287.90014648438,"Webcam",8
